Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
National University of Singapore,Singapore, SG, Singapore,10/08/2023,-,ML / AI,6 yrs,2 yrs,80.773 S$,80.8 mil,N/A,N/A
Grab,Singapore, SG, Singapore,25/07/2023,G4,Product Analyst,5 yrs,2 yrs,113.600 S$,93.6 mil,N/A,20 mil
GovTech,Singapore, SG, Singapore,23/07/2023,hidden,hidden,2-4 yrs,0-1 yrs,120.000 S$,120 mil,N/A,N/A
Shopee,Singapore, SG, Singapore,20/07/2023,hidden,hidden,5-10 yrs,2-4 yrs,198.700 S$,134 mil,42 mil,22.7 mil
Tencent,Singapore, SG, Singapore,20/07/2023,T9,Data,8 yrs,1 yr,130.000 S$,130 mil,N/A,N/A
Grab,Singapore, SG, Singapore,19/07/2023,G4,Data,1 yr,1 yr,143.000 S$,108 mil,20 mil,15 mil
Lazada,Singapore, SG, Singapore,18/07/2023,4.2,AI,5 yrs,4 yrs,170.000 S$,130 mil,10 mil,30 mil
Dyson,Singapore, SG, Singapore,14/07/2023,L11,ML / AI,3 yrs,1 yr,213.141 S$,170 mil,N/A,43.1 mil
Agilent Technologies,Singapore, SG, Singapore,12/07/2023,-,Senior,7 yrs,4 yrs,140.931 S$,133 mil,8 mil,N/A
Grab Singapore, SG, Singapore,12/07/2023,G4,Economist,1 yr,1 yr,206.965 S$,132 mil,55.2 mil,19.8 mil
Monetary Authority of Singapore, SG, Singapore,11/07/2023,-,Data Science,6 yrs,6 yrs,103.000 S$,103 mil,N/A,N/A
BNY Mellon Singapore, SG, Singapore,09/07/2023,KAI,5 yrs,4 yrs,170.000 S$,135 mil,15 mil,20 mil
Agency for Science, Technology and Research, Singapore, SG, Singapore,03/07/2023,L1,Research Engineer,1 yr,1 yr,66.000 S$,66 mil,N/A,N/A
Charles & Keith, Singapore, SG, Singapore,01/07/2023,Senior,AI,4 yrs,1 yr,116.725 S$,96.6 mil,N/A,20.1 mil
GIC Singapore, SG, Singapore,30/06/2023,hidden,hidden,5-10 yrs,5-10 yrs,289.999 S$,190 mil,N/A,100 mil
Henkel Singapore, SG, Singapore,30/06/2023,L1,Intern,0 yrs,0 yrs,42.000 S$,42 mil,N/A,N/A
Deloitte Advisory Singapore, SG, Singapore,30/06/2023,Analyst 2,Cybersecurity,1 yr,1 yr,54.000 S$,54 mil,N/A,N/A
ByteDance Singapore, SG, Singapore,30/06/2023,2-1,Data Science,7 yrs,0 yrs,210.000 S$,135.6 mil,30.5 mil,43.9 mil
Shopee Singapore, SG, Singapore,30/06/2023,Senior,Image Processing,5 yrs,2 yrs,166.000 S$,108 mil,40 mil,18 mil
DBS Bank Singapore, SG, Singapore,25/06/2023,-,hidden,0 yrs,0 yrs,66.000 S$,66 mil,N/A,N/A
Agency for Science, Technology and Research, Singapore, SG, Singapore,25/06/2023,-,Scholarship,4 yrs,4 yrs,39.600 S$,39.6 mil,N/A,N/A
Grab Singapore, SG, Singapore,23/06/2023,G6,Analytics,7 yrs,5 yrs,306.368 S$,188.6 mil,80 mil,37.7 mil
Facebook Singapore, SG, Singapore,21/06/2023,IC4,Measurement,8 yrs,2 yrs,196.000 S$,154 mil,12 mil,30 mil
Shopee Singapore, SG, Singapore,17/06/2023,Senior,AI,8 yrs,1 yr,351.900 S$,164.4 mil,160 mil,27.5 mil
Data Scientist, Singapore, SG, Singapore,14/06/2023,hidden,hidden,2-4 yrs,0-1 yrs,68.400 S$,68.4 mil,N/A,N/A
ByteDance Singapore, SG, Singapore,11/06/2023,2-1,Data Science,4 yrs,0 yrs,160.000 S$,130 mil,N/A,30 mil
Facebook Singapore, SG, Singapore,07/06/2023,IC6,Marketing,14 yrs,4 yrs,376.001 S$,280 mil,40 mil,56 mil
Facebook Singapore, SG, Singapore,06/06/2023,IC4,Measurement,8 yrs,2 yrs,200.000 S$,160 mil,40 mil,N/A
Agency for Science, Technology and Research, Singapore, SG, Singapore,31/05/2023,3,Engineer,1 yr,0 yrs,57.987 S$,51.5 mil,N/A,6.4 mil
ByteDance Singapore, SG, Singapore,31/05/2023,2-1,Analysis,7 yrs,0 yrs,203.001 S$,142 mil,25 mil,36 mil
DHL Singapore, SG, Singapore,31/05/2023,L2,Technology,7 yrs,1 yr,135.087 S$,135.1 mil,N/A,N/A
Shift Technology, Singapore, SG, Singapore,27/05/2023,L2,Data,5 yrs,4 yrs,105.000 S$,105 mil,N/A,N/A
Grab Singapore, SG, Singapore,27/05/2023,G4,Analytics,7 yrs,1 yr,124.102 S$,94.8 mil,13.5 mil,15.8 mil
Hyundai Motor Group, Singapore, SG, Singapore,23/05/2023,--,,4 yrs,1 yr,140.904 S$,119.2 mil,N/A,21.7 mil
Facebook Singapore, SG, Singapore,16/05/2023,IC5,Marketing,10 yrs,4 yrs,255.997 S$,214.4 mil,9.4 mil,32.2 mil
Grab Singapore, SG, Singapore,12/05/2023,G4,hidden,5 yrs,2 yrs,160.000 S$,160 mil,N/A,N/A
Grab Singapore, SG, Singapore,07/05/2023,G3,Product Analytics,2 yrs,1 yr,100.000 S$,100 mil,N/A,N/A
Google Singapore, SG, Singapore,06/05/2023,L5,Data,10 yrs,5 yrs,244.999 S$,180 mil,40 mil,25 mil
